g.whoregion,mid,hi,lo
EMR,0.561498219649229,0.61309007307454,0.508541548666648
AFR,0.530452558130598,0.579362945945943,0.480950124375267
EUR,0.531737729990299,0.586785789679353,0.475906166662578
AMR,0.544874609565006,0.596974717482321,0.491773240452904
SEA,0.565895052121731,0.616485256895044,0.513893496656231
WPR,0.561143069395227,0.613023984863624,0.507890226637582
